"","category","group","ANY","EAC","EGJAC"
"1","Demographic","gender",0.21767781514613,0.237524653428756,0.10556972321881
"2","Demographic","bmi_weight",0.0463685263169403,0.0391498084969411,0.017225330190255
"3","Demographic","race",0.133359842137265,0.175750669459409,0.0331194982192572
"4","Demographic","agentorange",0.000505747771925498,0.000110752576014056,0.00175416161040783
"5","Demographic","age",2.65665907447726,2.57173282553762,2.187859884547
"6","Demographic","smoke",0.0407390558875749,0.0321085498118955,0.00919632004446117
"7","Comorbidities","gerd",0.0912559766067937,0.0766230660241283,0.0301444292818193
"8","Comorbidities","chf",0.000204087519386812,0.000461738776619604,0.000290561806560945
"9","Comorbidities","ctd",0,0.000167491718688907,0
"10","Comorbidities","dem",0,0,0
"11","Comorbidities","diab_c",0.0129753711121029,0.0092878412324813,0.00608867838882434
"12","Comorbidities","hiv",0,0,0
"13","Comorbidities","mld",0.00969266333457192,0.00435985299007152,0.00272894131226931
"14","Comorbidities","msld",0,8.5106058614565e-06,0
"15","Comorbidities","para",0,0,0
"16","Comorbidities","rd",0.0145445525954382,0.0102507246003282,0.00445707213299349
"17","Comorbidities","cd",0.0165950187181932,0.00816163225230463,0.00861267857351108
"18","Comorbidities","copd",0.0488084974713996,0.0457620676638558,0.0459542510904744
"19","Comorbidities","diab_nc",0.0303394334873185,0.0197624171785731,0.0234126520142658
"20","Comorbidities","mi",0.0112801881683766,0.0091652524111385,0.000973943078089505
"21","Comorbidities","pud",0.00289155440786126,0.000132389686060924,0
"22","Comorbidities","pvd",0.0207739994485304,0.0180609102831548,0.0145676809102809
"23","Medication","h2r",1.63960884500125e-05,0,0
"24","Medication","ppi",0.0145341261135635,0.0121563252512132,0.00149274740454661
"25","Lab","a1c",0.0115938728712663,0.00590343351110711,0.00160506175931899
"26","Lab","bun",0.0367811351780554,0.0327639113726378,0.0277665366593997
"27","Lab","calc",0.0206394213233384,0.0120752291377945,0.0105078267359757
"28","Lab","chlor",0.0140742126636539,0.015882242467542,0.0161755312253145
"29","Lab","co2",0.0381669200291096,0.0400264957500989,0.0167290006311653
"30","Lab","creat",0.0223779753916994,0.0229860065323933,0.0154838472484197
"31","Lab","gluc",0.028796567469289,0.0297351041582697,0.0129106258479722
"32","Lab","k",0.0237405173195761,0.0212990937857199,0.0241250320243104
"33","Lab","na",0.0487760758513233,0.0416831800860711,0.0373753586309363
"34","Lab","baso",0.0153179192117301,0.012298130707106,0.00120759906964762
"35","Lab","eos",0.010732728717843,0.0148898139731854,0.00964165941193038
"36","Lab","hct",0.0365952305071626,0.0346783532158962,0.0198118700404693
"37","Lab","lymph",0.0153975855240357,0.00531396690114013,0.0132995337515052
"38","Lab","mch",0.0393235605118776,0.0365645358962906,0.0259262373967238
"39","Lab","mchc",0.0246637927051035,0.0169200699185166,0.00980981839871669
"40","Lab","mcv",0.0178435520601477,0.0177709263974143,0.0192592938708963
"41","Lab","mono",0.0190255776206079,0.00938755765755538,0.00741862579506617
"42","Lab","mpv",0.0181881965664402,0.00617645080794236,0.0292573418004165
"43","Lab","neut",0.0211295775788414,0.0218039288488705,0.00290074648432464
"44","Lab","platelet",0.0134814019385536,0.0131275275716295,0.0164642185813121
"45","Lab","wbc",0.0586982745341634,0.0625200999882729,0.0645227484925572
"46","Lab","crp",0,6.76940695166741e-05,0
"47","Lab","alkphos",0.0259622542987512,0.0210493987895953,0.0111528288237069
"48","Lab","alt",0.0480853234882226,0.0383356049027716,0.0191927029294441
"49","Lab","ast",0.0184830179354253,0.0174173651132809,0.00830714625314245
"50","Lab","totprot",0.0317381721926733,0.0183888955828159,0.0368028691054475
"51","Lab","hdl",0.0322664733447201,0.032800700960072,0.019829506738852
"52","Lab","ldl",0.0376365996788473,0.0316647143984906,0.0157898792526256
"53","Lab","trig",0.0190898580174111,0.00983129894650162,0.00646579781624978
